日期,时间,成交价,成交量,总量,额,B1价,B1量,B2价,B2量,B3价,B3量,B4价,B4量,B5价,B5量,S1价,S1量,S2价,S2量,S3价,S3量,S4价,S4量,S5价,S5量,BS
2016-1-4,08:47:12,3539.18,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:25:13,3536.59,964166,964166,1587413760,0.00,3499341,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1583557,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:04,3536.36,714878,1679044,1210333184,0.00,3329459,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1823763,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:09,3535.98,601600,2280644,909212416,0.00,3491426,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2052192,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:14,3536.17,46776,2327420,81209344,0.00,3691718,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2112903,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:19,3535.65,52693,2380113,88773632,0.00,3673938,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2107771,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:24,3533.96,81702,2461815,138595840,0.00,3658937,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2068126,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:29,3533.93,98325,2560140,138942464,0.00,3573690,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2100456,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:34,3533.39,103730,2663870,168997376,0.00,3560308,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2053025,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:39,3532.67,141178,2805048,212832256,0.00,3526382,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2051295,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:44,3532.98,100387,2905435,167675392,0.00,3454839,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2062478,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:49,3532.22,149218,3054653,242871296,0.00,3475354,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2028049,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:54,3532.26,118313,3172966,191429632,0.00,3466870,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2031113,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:30:59,3532.42,92133,3265099,161846272,0.00,3477781,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2058278,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:04,3531.97,122796,3387895,212410368,0.00,3483373,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2056113,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:09,3531.36,114291,3502186,178529792,0.00,3492226,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2063891,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:14,3530.96,92271,3594457,162362368,0.00,3499203,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2046831,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:19,3531.21,127992,3722449,217375232,0.00,3511323,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2055535,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:24,3531.00,122001,3844450,195717120,0.00,3534615,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2009879,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:29,3530.50,101076,3945526,172682240,0.00,3566604,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2042649,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:34,3530.98,120572,4066098,220255744,0.00,3578315,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2038718,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:39,3531.37,113925,4180023,186004480,0.00,3592992,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2043564,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:44,3530.68,86959,4266982,143460864,0.00,3622832,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2027609,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:49,3531.31,111931,4378913,190129152,0.00,3627678,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2058436,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:54,3531.90,108193,4487106,163457024,0.00,3652794,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2051726,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:31:58,3531.43,78724,4565830,125851648,0.00,3654068,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2071298,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:04,3530.60,128637,4694467,197904896,0.00,3656433,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2093369,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:09,3531.58,112334,4806801,171914752,0.00,3636663,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2079657,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:13,3531.12,74805,4881606,119789568,0.00,3646978,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2101626,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:19,3531.52,118584,5000190,186818560,0.00,3645176,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2083256,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:25,3531.57,119579,5119769,183247872,0.00,3649771,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2104831,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:30,3531.94,89900,5209669,145990144,0.00,3662701,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2118018,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:34,3531.41,73523,5283192,121420288,0.00,3689628,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2094685,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:39,3531.18,100492,5383684,155984896,0.00,3686933,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2086245,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:45,3531.17,116242,5499926,175267840,0.00,3701474,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2114897,0.00,0,0.00,0,0.00,0,0.00,0,B
2016-1-4,09:32:49,3531.20,83786,5583712,145500160,0.00,3712977,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2098292,0.00,0,0.00,0,0.00,0,0.00,0,B
