日期,时间,成交价,成交量,总量,额,B1价,B1量,B2价,B2量,B3价,B3量,B4价,B4量,B5价,B5量,S1价,S1量,S2价,S2量,S3价,S3量,S4价,S4量,S5价,S5量,BS
2017-8-31,09:25:00,18.94,20,20,37880,18.94,89,18.77,1,18.75,30,18.68,1,18.62,40,18.96,15,19.00,1,19.02,4,19.05,15,19.10,1,S
2017-8-31,09:30:12,18.96,3,23,5688,18.95,27,18.94,102,18.84,3,18.77,21,18.76,5,18.96,12,18.97,30,19.00,1,19.02,5,19.03,20,B
2017-8-31,09:30:26,18.96,10,33,18960,18.94,102,18.84,3,18.77,21,18.76,13,18.75,30,18.96,2,18.97,30,19.00,1,19.02,5,19.03,20,B
2017-8-31,09:30:28,18.96,2,35,3792,18.96,1,18.94,102,18.84,3,18.77,21,18.76,13,18.97,30,19.00,1,19.02,5,19.03,20,19.05,15,B
2017-8-31,09:30:46,18.96,3,38,5688,18.96,8,18.94,102,18.84,3,18.77,21,18.76,13,18.97,30,19.00,1,19.02,5,19.03,20,19.05,15,S
2017-8-31,09:31:02,18.97,4,42,7587,18.96,14,18.94,102,18.84,3,18.77,21,18.76,13,18.97,27,19.00,1,19.02,5,19.03,20,19.05,15,B
2017-8-31,09:31:07,18.97,26,68,49322,18.96,14,18.94,102,18.84,3,18.77,21,18.76,13,18.97,1,19.00,1,19.02,5,19.03,20,19.05,15,B
2017-8-31,09:31:09,18.97,1,69,1897,18.97,17,18.96,14,18.94,102,18.84,3,18.77,21,19.00,1,19.02,5,19.03,20,19.05,15,19.10,2,B
2017-8-31,09:31:15,18.97,1,70,1897,18.97,43,18.96,14,18.94,102,18.84,3,18.77,21,19.00,1,19.02,5,19.03,20,19.05,15,19.10,2,S
2017-8-31,09:31:31,19.00,1,71,1900,19.00,28,18.97,16,18.96,7,18.94,102,18.84,3,19.02,5,19.03,24,19.05,15,19.10,2,19.11,5,B
2017-8-31,09:31:36,19.00,5,76,9500,19.00,23,18.97,19,18.96,7,18.94,102,18.84,3,19.02,5,19.03,24,19.05,15,19.10,2,19.11,5,S
2017-8-31,09:31:42,19.00,3,79,5700,19.00,20,18.97,19,18.96,7,18.94,102,18.84,3,19.02,5,19.03,24,19.05,15,19.10,2,19.11,5,S
2017-8-31,09:31:43,19.02,5,84,9510,19.02,2,19.00,20,18.97,19,18.96,7,18.95,10,19.03,24,19.05,15,19.10,2,19.11,5,19.12,30,B
2017-8-31,09:31:49,19.03,24,108,45672,19.03,9,19.02,2,19.00,20,18.97,3,18.96,7,19.05,15,19.10,2,19.11,5,19.12,30,19.13,6,B
2017-8-31,09:31:53,19.05,10,118,19048,19.03,8,19.02,2,19.00,20,18.97,3,18.96,7,19.05,6,19.10,2,19.11,5,19.12,30,19.13,6,B
2017-8-31,09:32:20,19.05,6,124,11430,19.05,15,19.03,11,19.02,2,19.00,20,18.96,7,19.09,10,19.10,2,19.11,5,19.12,30,19.13,6,B
